[2026-06-18T09:28:46.060+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T09:28:46.253+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [queued]>
[2026-06-18T09:28:46.261+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [queued]>
[2026-06-18T09:28:46.262+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2026-06-18T09:28:49.572+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1189 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.574+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1291 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.574+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1318 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.575+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1458 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.576+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1495 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.577+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1556 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.578+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1746 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.579+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1817 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.580+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2093 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.581+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2183 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.582+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2482 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.583+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2548 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.588+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4365 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.589+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4481 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.590+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4516 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.591+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4580 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.592+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4623 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.592+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4678 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.597+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5689 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.599+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5755 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.600+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5800 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.601+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5861 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.604+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:6986 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.606+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7051 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.607+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7096 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.608+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7151 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.610+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7588 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.611+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7661 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.612+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7832 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.613+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7903 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.614+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7952 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.615+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8019 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.617+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8812 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.618+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8877 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.619+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8921 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.620+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8972 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.623+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:10035 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.624+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:10096 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.630+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11122 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.632+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11183 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.633+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11224 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.634+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11284 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.635+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11529 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.636+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11590 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.637+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11631 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.638+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11692 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.640+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11855 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.640+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11911 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.641+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12053 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.642+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12115 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.645+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12932 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.646+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13034 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.647+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13105 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.648+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13196 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.650+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13694 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.651+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13770 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.652+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13823 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.653+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13889 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.654+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14277 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.656+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14337 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.656+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14377 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.657+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14431 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.659+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14727 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.660+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14807 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.661+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14863 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.662+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14924 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.663+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:15178 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.664+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:15249 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.667+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16131 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.668+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16203 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.669+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16252 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.670+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16308 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.672+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16668 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.673+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16729 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.676+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17551 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.677+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17613 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.678+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17655 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.680+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17728 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.681+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17884 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.682+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17945 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.682+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17986 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.683+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18056 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.684+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18196 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.685+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18257 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.693+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21227 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.699+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21287 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.702+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21856 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.703+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21920 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.704+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21963 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.705+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22022 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.707+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22328 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.709+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22394 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.709+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22439 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.710+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22504 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.711+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22640 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.713+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22701 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.714+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23170 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.715+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23238 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.716+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23583 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.718+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23655 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.718+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23704 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.719+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23760 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.721+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24101 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.722+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24173 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.723+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24222 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.724+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24278 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.725+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24547 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.726+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24608 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.727+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24935 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.729+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24990 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.734+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27415 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.735+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27475 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.736+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27515 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.737+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27571 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.741+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:28982 SyntaxWarning: invalid escape sequence '\d'
